Work item Type,Title1,Title2,Title3,State,Estimate,,,,,,,
Epic,Passenger Information & Interaction,,,,,,,,,,,
User storty,,Passenger Real-Time Information Viewing,,,,,,,,,,
Task,,,Design real-time schedule view UI,,,,,,,,,
Task,,,Design map view with live vehicle positions,,,,,,,,,
Task,,,Implement backend API for real-time transit data,,,,,,,,,
Task,,,Integrate live vehicle location data source,,,,,,,,,
Task,,,Implement client-server communication,,,,,,,,,
Task,,,Handle data refresh and latency,,,,,,,,,
Test case,,,View schedule for selected line,,,,,,,,,
Test case,,,View vehicle position on map,,,,,,,,,
Test case,,,No data available scenario,,,,,,,,,
User storty,,NFC-Based Journey Registration,,,,,,,,,,
Task,,,Design NFC check-in/check-out UI,,,,,,,,,
Task,,,Implement NFC communication module,,,,,,,,,
Task,,,Generate secure passenger token,,,,,,,,,
Task,,,Transmit token to NFC reader,,,,,,,,,
task,,,Implement server-side token validation,,,,,,,,,
Task,,,Store journey entry and exit records,,,,,,,,,
Task,,,Send confirmation to mobile application,,,,,,,,,
Test case,,,Successful NFC check-in,,,,,,,,,
Test case,,,Successful NFC check-out,,,,,,,,,
Test case,,,Invalid or expired token,,,,,,,,,
Test case,,,NFC reader not available,,,,,,,,,
User storty,,Incident Reporting,,,,,,,,,,
Task,,,Design incident reporting form UI,,,,,,,,,
Task,,,Implement issue type selection,,,,,,,,,
Task,,,Enable text input for description,,,,,,,,,
Task,,,Implement photo capture functionality,,,,,,,,,
Task,,,Capture and attach GPS location,,,,,,,,,
Task,,,Send incident report to server,,,,,,,,,
Task,,,Store incident reports in database,,,,,,,,,
Test case,,,Submit incident with text only,,,,,,,,,
Test case,,,Submit incident with photo and location,,,,,,,,,
Test case,,,Submit incident without optional fields,,,,,,,,,
EPIC,Transit Operations Management,,,,,,,,,,,
User storty,,Transit Route Management,,,,,,,,,,
Task,,,Design route management admin UI,,,,,,,,,
Task,,,Implement create new line functionality,,,,,,,,,
Task,,,Implement stop sequence definition,,,,,,,,,
Task,,,Integrate interactive map for stop selection,,,,,,,,,
Task,,,Assign travel times between stops,,,,,,,,,
Task,,,Save and persist route data,,,,,,,,,
Task,,,Implement stop search functionality,,,,,,,,,
Task,,,"Edit stop properties (name, GPS, accessibility)",,,,,,,,,
Task,,,Update all related lines after stop modification,,,,,,,,,
Test case,,,Create new transit line,,,,,,,,,
Test case,,,Modify existing stop,,,,,,,,,
Test case,,,Verify line updates after stop change,,,,,,,,,
User storty,,Service Notification Management,,,,,,,,,,
Task,,,Design notification creation form,,,,,,,,,
Task,,,Implement severity level selection,,,,,,,,,
Task,,,Assign affected lines,,,,,,,,,
Task,,,Set validity period,,,,,,,,,
Task,,,Publish notification,,,,,,,,,
Task,,,Display notifications to users,,,,,,,,,
Task,,,Publish new service notification,,,,,,,,,
Test case,,,Notification expires after validity period,,,,,,,,,
Test case,,,Notification with multiple affected lines,,,,,,,,,
User storty,,Passenger Statistics Visualization,,,,,,,,,,
Task,,,Design statistics dashboard UI,,,,,,,,,
Task,,,Implement passenger count aggregation,,,,,,,,,
Task,,,"Add filters (time range, line, stop)",,,,,,,,,
Task,,,Generate charts and visual reports,,,,,,,,,
Task,,,Implement data export functionality,,,,,,,,,
Test case,,,View statistics for selected line,,,,,,,,,
Test case,,,Filter statistics by time range,,,,,,,,,
Test case,,,Export statistics report,,,,,,,,,
